ENSG00000076344|ENST00000168869
ENSG00000171960|ENST00000677926
ENSG00000124198|ENST00000681885
ENSG00000104133|ENST00000683496
ENSG00000144591|ENST00000684729
ENSG00000147852|ENST00000680243
ENSG00000177646|ENST00000680764
ENSG00000135317|ENST00000682688
ENSG00000154743|ENST00000679555
ENSG00000125124|ENST00000683959
ENSG00000164953|ENST00000682577
ENSG00000117054|ENST00000680964
ENSG00000117054|ENST00000681446
ENSG00000135931|ENST00000684565
ENSG00000072041|ENST00000679430
ENSG00000008311|ENST00000679764
ENSG00000154743|ENST00000680555
ENSG00000163703|ENST00000673635
ENSG00000118217|ENST00000680481
ENSG00000003393|ENST00000680828
ENSG00000008311|ENST00000679721
ENSG00000135931|ENST00000683702
ENSG00000213614|ENST00000683133
ENSG00000011243|ENST00000680363
ENSG00000143502|ENST00000681404
ENSG00000172269|ENST00000684255
ENSG00000162650|ENST00000684449
ENSG00000123983|ENST00000680475
ENSG00000130640|ENST00000682990
ENSG00000188992|ENST00000680487
ENSG00000105835|ENST00000679873
ENSG00000135744|ENST00000679802
ENSG00000163703|ENST00000682790
ENSG00000164418|ENST00000682115
ENSG00000111331|ENST00000681134
ENSG00000124356|ENST00000682105
ENSG00000157227|ENST00000680097
ENSG00000123607|ENST00000681483
ENSG00000171503|ENST00000683448
ENSG00000111331|ENST00000679812
ENSG00000125124|ENST00000683976
ENSG00000144591|ENST00000683864
ENSG00000124356|ENST00000683149
ENSG00000117054|ENST00000681361
ENSG00000131844|ENST00000683098
ENSG00000197102|ENST00000680715
ENSG00000083312|ENST00000680025
ENSG00000182173|ENST00000679928
ENSG00000119392|ENST00000683905
ENSG00000105835|ENST00000681653
ENSG00000089127|ENST00000679767
ENSG00000108823|ENST00000683294
ENSG00000213614|ENST00000684667
ENSG00000135317|ENST00000683097
ENSG00000090581|ENST00000683366
ENSG00000003393|ENST00000680149
ENSG00000155816|ENST00000681131
ENSG00000105835|ENST00000680864
ENSG00000168000|ENST00000683025
ENSG00000204852|ENST00000681395
ENSG00000077232|ENST00000680484
ENSG00000144591|ENST00000682102
ENSG00000078124|ENST00000679924
ENSG00000124198|ENST00000681656
ENSG00000185624|ENST00000681030
ENSG00000135298|ENST00000684661
ENSG00000103723|ENST00000681327
ENSG00000125875|ENST00000681777
ENSG00000265590|ENST00000673727
ENSG00000150768|ENST00000679815
ENSG00000100023|ENST00000681137
ENSG00000198912|ENST00000681823
ENSG00000135297|ENST00000680902
ENSG00000135317|ENST00000683481
ENSG00000130414|ENST00000677368
ENSG00000078124|ENST00000681411
ENSG00000135931|ENST00000683629
ENSG00000177119|ENST00000679761
ENSG00000166598|ENST00000679538
ENSG00000177239|ENST00000683475
ENSG00000239900|ENST00000680444
ENSG00000185624|ENST00000680416
ENSG00000125124|ENST00000682449
ENSG00000116337|ENST00000680132
ENSG00000008311|ENST00000681907
ENSG00000123983|ENST00000681292
ENSG00000172071|ENST00000682103
ENSG00000128487|ENST00000680830
ENSG00000105875|ENST00000683947
ENSG00000135931|ENST00000683063
ENSG00000113312|ENST00000682172
ENSG00000198561|ENST00000682621
ENSG00000160710|ENST00000681901
ENSG00000099246|ENST00000682668
ENSG00000265590|ENST00000673633
ENSG00000117054|ENST00000681450
ENSG00000135541|ENST00000681477
ENSG00000135297|ENST00000681267
ENSG00000008311|ENST00000679847
ENSG00000154743|ENST00000679690
ENSG00000168003|ENST00000680610
ENSG00000112319|ENST00000683325
ENSG00000101160|ENST00000680263
ENSG00000083312|ENST00000681711
ENSG00000118217|ENST00000681557
ENSG00000165280|ENST00000680916
ENSG00000164953|ENST00000683223
ENSG00000177239|ENST00000683135
ENSG00000138796|ENST00000684696
ENSG00000127914|ENST00000680365
ENSG00000177646|ENST00000680744
ENSG00000095321|ENST00000681911
ENSG00000008311|ENST00000679579
ENSG00000138821|ENST00000683706
ENSG00000154743|ENST00000681227
ENSG00000099246|ENST00000682181
ENSG00000135297|ENST00000679730
ENSG00000123607|ENST00000681024
ENSG00000157227|ENST00000680941
ENSG00000046651|ENST00000682562
ENSG00000125124|ENST00000682735
ENSG00000137492|ENST00000683600
ENSG00000141252|ENST00000681946
ENSG00000151611|ENST00000679930
ENSG00000154743|ENST00000681268
ENSG00000141252|ENST00000681478
ENSG00000130921|ENST00000680325
ENSG00000144591|ENST00000683402
ENSG00000165181|ENST00000683944
ENSG00000138821|ENST00000683916
ENSG00000159063|ENST00000680223
ENSG00000003393|ENST00000680135
ENSG00000184009|ENST00000681092
ENSG00000018510|ENST00000680893
ENSG00000135297|ENST00000680775
ENSG00000106462|ENST00000683744
ENSG00000064309|ENST00000683716
ENSG00000163703|ENST00000684526
ENSG00000141252|ENST00000681943
ENSG00000055609|ENST00000682040
ENSG00000166598|ENST00000680391
ENSG00000136699|ENST00000680987
ENSG00000147050|ENST00000684352
ENSG00000151322|ENST00000680362
ENSG00000164953|ENST00000682624
ENSG00000135541|ENST00000681718
ENSG00000046651|ENST00000683713
ENSG00000125124|ENST00000682187
ENSG00000023041|ENST00000684173
ENSG00000158290|ENST00000681908
ENSG00000123607|ENST00000680947
ENSG00000116337|ENST00000681862
ENSG00000124356|ENST00000683304
ENSG00000164953|ENST00000681998
ENSG00000144591|ENST00000683386
ENSG00000075702|ENST00000680806
ENSG00000168014|ENST00000679415
ENSG00000135297|ENST00000679947
ENSG00000144233|ENST00000680045
ENSG00000159063|ENST00000681384
ENSG00000151348|ENST00000684124
ENSG00000104884|ENST00000684458
ENSG00000179218|ENST00000680816
ENSG00000066468|ENST00000683250
ENSG00000196305|ENST00000684542
ENSG00000135541|ENST00000680278
ENSG00000168014|ENST00000681811
ENSG00000138095|ENST00000683346
ENSG00000117020|ENST00000681794
ENSG00000116337|ENST00000679981
ENSG00000144233|ENST00000681313
ENSG00000163359|ENST00000682957
ENSG00000213614|ENST00000683579
ENSG00000011243|ENST00000680803
ENSG00000132549|ENST00000682234
ENSG00000111331|ENST00000681002
ENSG00000141279|ENST00000678262
ENSG00000141252|ENST00000680872
ENSG00000143502|ENST00000679975
ENSG00000133835|ENST00000683996
ENSG00000105835|ENST00000680077
ENSG00000147234|ENST00000683424
ENSG00000171503|ENST00000684675
ENSG00000204852|ENST00000681807
ENSG00000164953|ENST00000683078
ENSG00000182923|ENST00000684060
ENSG00000138095|ENST00000683796
ENSG00000125124|ENST00000683690
ENSG00000182923|ENST00000683245
ENSG00000125124|ENST00000682038
ENSG00000124523|ENST00000681818
ENSG00000275700|ENST00000680579
ENSG00000135317|ENST00000683803
ENSG00000168137|ENST00000684606
ENSG00000135317|ENST00000684451
ENSG00000125124|ENST00000684684
ENSG00000064703|ENST00000680383
ENSG00000003393|ENST00000679916
ENSG00000100023|ENST00000681791
ENSG00000159063|ENST00000680996
ENSG00000119977|ENST00000679984
ENSG00000079215|ENST00000679784
ENSG00000008311|ENST00000681387
ENSG00000123607|ENST00000680690
ENSG00000119682|ENST00000681535
ENSG00000105642|ENST00000683930
ENSG00000135333|ENST00000680082
ENSG00000127022|ENST00000681762
ENSG00000159063|ENST00000680459
ENSG00000185624|ENST00000680847
ENSG00000166794|ENST00000680158
ENSG00000168014|ENST00000681609
ENSG00000124356|ENST00000684337
ENSG00000150768|ENST00000681638
ENSG00000163703|ENST00000682929
ENSG00000135317|ENST00000682034
ENSG00000135541|ENST00000679476
ENSG00000046651|ENST00000682237
ENSG00000182923|ENST00000682954
ENSG00000171680|ENST00000674790
ENSG00000046651|ENST00000684577
ENSG00000135317|ENST00000683085
ENSG00000118473|ENST00000683311
ENSG00000046651|ENST00000683427
ENSG00000105835|ENST00000680129
ENSG00000163703|ENST00000683301
ENSG00000140564|ENST00000681804
ENSG00000125124|ENST00000682543
ENSG00000177646|ENST00000681886
ENSG00000135297|ENST00000680428
ENSG00000163703|ENST00000684648
ENSG00000196305|ENST00000683495
ENSG00000099246|ENST00000683816
ENSG00000100749|ENST00000680339
ENSG00000135297|ENST00000680875
ENSG00000159063|ENST00000680467
ENSG00000249624|ENST00000682009
ENSG00000198912|ENST00000679703
ENSG00000049167|ENST00000675452
ENSG00000100749|ENST00000680993
ENSG00000163703|ENST00000684613
ENSG00000196305|ENST00000682533
ENSG00000188906|ENST00000680453
ENSG00000116337|ENST00000681121
ENSG00000154743|ENST00000680126
ENSG00000135297|ENST00000679524
ENSG00000135317|ENST00000684273
ENSG00000072110|ENST00000684638
ENSG00000185885|ENST00000681577
ENSG00000204852|ENST00000680512
ENSG00000105642|ENST00000682726
ENSG00000135297|ENST00000679592
ENSG00000256043|ENST00000679625
ENSG00000163703|ENST00000684212
ENSG00000159063|ENST00000679697
ENSG00000163703|ENST00000683232
ENSG00000138095|ENST00000684619
ENSG00000125124|ENST00000682088
ENSG00000182923|ENST00000683940
ENSG00000128487|ENST00000681545
ENSG00000138821|ENST00000682549
ENSG00000135297|ENST00000680601
ENSG00000101160|ENST00000680456
ENSG00000117054|ENST00000681616
ENSG00000177646|ENST00000681585
ENSG00000135297|ENST00000681337
ENSG00000182923|ENST00000682013
ENSG00000118473|ENST00000683604
ENSG00000125124|ENST00000682723
ENSG00000124356|ENST00000684426
ENSG00000148400|ENST00000679595
ENSG00000127022|ENST00000679527
ENSG00000037749|ENST00000681641
ENSG00000033011|ENST00000682206
ENSG00000136492|ENST00000683235
ENSG00000128487|ENST00000680740
ENSG00000163703|ENST00000683601
ENSG00000123607|ENST00000679931
ENSG00000006071|ENST00000683456
ENSG00000135541|ENST00000679622
ENSG00000072041|ENST00000680780
ENSG00000197467|ENST00000682679
ENSG00000148400|ENST00000681454
ENSG00000006071|ENST00000682140
ENSG00000163703|ENST00000674067
ENSG00000006071|ENST00000682288
ENSG00000135317|ENST00000683126
ENSG00000164953|ENST00000683336
ENSG00000122591|ENST00000681079
ENSG00000138095|ENST00000684306
ENSG00000072041|ENST00000681220
ENSG00000141556|ENST00000682213
ENSG00000135297|ENST00000681890
ENSG00000168214|ENST00000679698
ENSG00000166598|ENST00000680899
ENSG00000168014|ENST00000680665
ENSG00000095787|ENST00000681112
ENSG00000111331|ENST00000680177
ENSG00000133835|ENST00000684160
ENSG00000158290|ENST00000674073
ENSG00000185624|ENST00000681933
ENSG00000003393|ENST00000679618
ENSG00000124198|ENST00000681399
ENSG00000135317|ENST00000683880
ENSG00000130714|ENST00000678548
ENSG00000164182|ENST00000678452
ENSG00000125124|ENST00000684640
ENSG00000144591|ENST00000684227
ENSG00000137492|ENST00000684059
ENSG00000049167|ENST00000683460
ENSG00000130640|ENST00000684478
ENSG00000099246|ENST00000684393
ENSG00000163382|ENST00000681523
ENSG00000117054|ENST00000680694
ENSG00000135297|ENST00000679604
ENSG00000163703|ENST00000682771
ENSG00000164953|ENST00000683919
ENSG00000104133|ENST00000683734
ENSG00000131844|ENST00000684024
ENSG00000111331|ENST00000679505
ENSG00000175595|ENST00000682826
ENSG00000144591|ENST00000683691
ENSG00000206561|ENST00000679838
ENSG00000205085|ENST00000682361
ENSG00000085831|ENST00000680460
ENSG00000055609|ENST00000680029
ENSG00000064703|ENST00000679576
ENSG00000089127|ENST00000680919
ENSG00000117054|ENST00000680662
ENSG00000185624|ENST00000680909
ENSG00000184014|ENST00000679999
ENSG00000130640|ENST00000682093
ENSG00000117054|ENST00000680691
ENSG00000026297|ENST00000682774
ENSG00000156709|ENST00000674997
ENSG00000171798|ENST00000682119
ENSG00000006071|ENST00000684711
ENSG00000135541|ENST00000680840
ENSG00000164418|ENST00000684027
ENSG00000135317|ENST00000683698
ENSG00000196305|ENST00000684445
ENSG00000185624|ENST00000681566
ENSG00000204852|ENST00000679617
ENSG00000003393|ENST00000681256
ENSG00000137492|ENST00000682978
ENSG00000141556|ENST00000684776
ENSG00000182923|ENST00000684777
